,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
46154,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-10,2.4,TO,T101,59363,Rosebery Waste Water TP,2019-10,2016.8067226890757,55472,tas
46158,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-10,1.2,TO,T101,59363,Rosebery Waste Water TP,2019-10,1008.4033613445379,55472,tas
46182,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-12,2.4,TO,T101,59363,Rosebery Waste Water TP,2018-12,2016.8067226890757,55472,tas
46185,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-11,1.2,TO,T101,59363,Rosebery Waste Water TP,2018-11,1008.4033613445379,55472,tas
46188,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-10,1.2,TO,T101,59363,Rosebery Waste Water TP,2018-10,1008.4033613445379,55472,tas
46192,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-10,2.4,TO,T101,59363,Rosebery Waste Water TP,2018-09,2016.8067226890757,55472,tas
46195,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-08,1.2,TO,T101,59363,Rosebery Waste Water TP,2018-08,1008.4033613445379,55472,tas
46203,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-06,1.2,TO,T101,59363,Rosebery Waste Water TP,2018-06,1008.4033613445379,55472,tas
46207,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-04,1.2,TO,T101,59363,Rosebery Waste Water TP,2018-04,1008.4033613445379,55472,tas
46211,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-03,2.4,TO,T101,59363,Rosebery Waste Water TP,2018-03,2016.8067226890757,55472,tas
46216,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-02,1.2,TO,T101,59363,Rosebery Waste Water TP,2018-02,1008.4033613445379,55472,tas
46232,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-10,1.2,TO,T101,59363,Rosebery Waste Water TP,2017-09,1008.4033613445379,55472,tas
46245,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-05,1.2,TO,T101,59363,Rosebery Waste Water TP,2017-05,1008.4033613445379,55472,tas
46265,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-11,1.2,TO,T101,59363,Rosebery Waste Water TP,2016-10,1008.4033613445379,55472,tas
46270,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-07,2.4,TO,T101,59363,Rosebery Waste Water TP,2016-07,2016.8067226890757,55472,tas
46272,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-07,1.2,TO,T101,59363,Rosebery Waste Water TP,2016-06,1008.4033613445379,55472,tas
46278,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-05,1.2,TO,T101,59363,Rosebery Waste Water TP,2016-05,1008.4033613445379,55472,tas
46280,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-04,2.4,TO,V305,59363,Rosebery Waste Water TP,2016-04,2016.8067226890757,55472,tas
46285,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-03,1.2,TO,V305,60180,TasWater c/o Toll Burnie Depot,2016-03,1008.4033613445379,55472,tas
46289,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-02,1.0,BOX,V305,60180,TasWater c/o Toll Burnie Depot,2016-02,1000.0,55472,tas
46294,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-01,1.0,BOX,V305,T309,Toll Store Burnie,2015-12,1000.0,55472,tas
46298,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-12,1.0,BOX,V305,T309,Toll Store Burnie,2015-11,1000.0,55472,tas
46307,55472,Tas Water,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-09,1.0,BOX,V305,59363,Rosebery Waste Water TP,2015-09,1000.0,55472,tas
