,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
46140,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-05,1.0,BOX,V305,38427,Howe Leather,2020-04,1000.0,38427,vic
46149,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-12,1.0,BOX,V305,38427,Howe Leather,2019-12,1000.0,38427,vic
46153,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-11,1.0,BOX,V305,38427,Howe Leather,2019-11,1000.0,38427,vic
46159,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-10,1.0,BOX,V305,38427,Howe Leather,2019-10,1000.0,38427,vic
46162,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-08,1.0,BOX,V305,38427,Howe Leather,2019-08,1000.0,38427,vic
46164,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-08,1.0,BOX,V305,38427,Howe Leather,2019-08,1000.0,38427,vic
46166,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-07,1.0,BOX,V305,38427,Howe Leather,2019-07,1000.0,38427,vic
46170,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-06,1.0,BOX,V305,38427,Howe Leather,2019-06,1000.0,38427,vic
46172,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-05,1.0,BOX,V305,38427,Howe Leather,2019-05,1000.0,38427,vic
46173,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-05,1.0,BOX,V305,38427,Howe Leather,2019-05,1000.0,38427,vic
46175,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-04,1.0,BOX,V305,38427,Howe Leather,2019-04,1000.0,38427,vic
46177,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-03,1.0,BOX,V305,38427,Howe Leather,2019-03,1000.0,38427,vic
46178,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-02,1.0,BOX,V305,38427,Howe Leather,2019-02,1000.0,38427,vic
46183,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-12,1.0,BOX,V305,38427,Howe Leather,2018-12,1000.0,38427,vic
46186,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-11,1.0,BOX,V305,38427,Howe Leather,2018-11,1000.0,38427,vic
46187,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-11,1.0,BOX,V305,38427,Howe Leather,2018-11,1000.0,38427,vic
46189,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-10,1.0,BOX,V305,38427,Howe Leather,2018-10,1000.0,38427,vic
46193,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-09,1.0,BOX,V305,38427,Howe Leather,2018-09,1000.0,38427,vic
46194,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-09,1.0,BOX,V305,38427,Howe Leather,2018-09,1000.0,38427,vic
46196,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-08,1.2,TO,V305,38427,Howe Leather,2018-08,1008.4033613445379,38427,vic
46198,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-07,2.4,TO,V305,38427,Howe Leather,2018-07,2016.8067226890757,38427,vic
46202,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-06,2.4,TO,V305,38427,Howe Leather,2018-06,2016.8067226890757,38427,vic
46206,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-05,2.4,TO,V305,38427,Howe Leather,2018-05,2016.8067226890757,38427,vic
46214,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-03,2.0,BOX,V305,38427,Howe Leather,2018-03,2000.0,38427,vic
46217,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-01,2.0,BOX,V305,38427,Howe Leather,2018-01,2000.0,38427,vic
46221,59307,Ventia Australia Pty Ltd- Vic,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-01,1.2,TO,V305,62643,Lang Lang -Broadspectrum,2018-01,1008.4033613445379,59307,vic
46222,59307,Ventia Australia Pty Ltd- Vic,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-12,1.2,TO,V305,62643,Lang Lang -Broadspectrum,2017-12,1008.4033613445379,59307,vic
46226,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-11,2.0,BOX,V305,38427,Howe Leather,2017-11,2000.0,38427,vic
46233,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-09,2.0,BOX,V305,38427,Howe Leather,2017-09,2000.0,38427,vic
46238,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-08,2.0,IBC,V305,38427,Howe Leather,2017-08,2000.0,38427,vic
46244,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-05,2.0,BOX,V305,38427,Howe Leather,2017-05,2000.0,38427,vic
46250,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-04,2.0,BOX,V305,38427,Howe Leather,2017-04,2000.0,38427,vic
46252,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-02,2.0,BOX,V305,38427,Howe Leather,2017-02,2000.0,38427,vic
46263,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-12,2.0,BOX,V305,38427,Howe Leather,2016-11,2000.0,38427,vic
46268,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-09,2.0,BOX,V305,38427,Howe Leather,2016-09,2000.0,38427,vic
46271,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-07,2.0,BOX,V305,38427,Howe Leather,2016-07,2000.0,38427,vic
46276,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-06,2.0,BOX,V305,38427,Howe Leather,2016-06,2000.0,38427,vic
46279,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-05,2.0,BOX,V305,38427,Howe Leather,2016-05,2000.0,38427,vic
46281,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-04,2.0,BOX,V305,38427,Howe Leather,2016-04,2000.0,38427,vic
46286,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-03,2.0,BOX,V305,38427,Howe Leather,2016-03,2000.0,38427,vic
46287,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-02,2.0,BOX,V305,38427,Howe Leather,2016-02,2000.0,38427,vic
46293,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2016-01,2.0,BOX,V305,38427,Howe Leather,2016-01,2000.0,38427,vic
46297,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-12,2.0,BOX,V305,38427,Howe Leather,2015-12,2000.0,38427,vic
46302,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-11,2.0,BOX,V305,38427,Howe Leather,2015-11,2000.0,38427,vic
46304,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-10,2.0,BOX,V305,38427,Howe Leather,2015-10,2000.0,38427,vic
46306,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-09,2.0,BOX,V305,38427,Howe Leather,2015-09,2000.0,38427,vic
46310,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-08,2.0,BOX,V305,38427,Howe Leather,2015-08,2000.0,38427,vic
46313,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-07,2.0,BOX,V305,38427,Howe Leather,2015-07,2000.0,38427,vic
46316,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-07,2.0,BOX,V305,38427,Howe Leather,2015-07,2000.0,38427,vic
46320,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-06,2.0,BOX,V305,38427,Howe Leather,2015-06,2000.0,38427,vic
46322,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-05,2.0,BOX,V305,38427,Howe Leather,2015-05,2000.0,38427,vic
46324,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-05,1.0,BOX,V305,38427,Howe Leather,2015-04,1000.0,38427,vic
46325,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-04,1.0,BOX,V305,38427,Howe Leather,2015-04,1000.0,38427,vic
46327,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-04,2.0,BOX,V305,38427,Howe Leather,2015-04,2000.0,38427,vic
46329,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-03,2.0,BOX,V305,38427,Howe Leather,2015-03,2000.0,38427,vic
46330,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-03,2.0,BOX,V305,38427,Howe Leather,2015-03,2000.0,38427,vic
46333,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-02,2.0,BOX,V305,38427,Howe Leather,2015-02,2000.0,38427,vic
46335,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2015-01,2.0,BOX,V305,38427,Howe Leather,2015-01,2000.0,38427,vic
46339,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2014-12,2.0,BOX,V305,38427,Howe Leather,2014-12,2000.0,38427,vic
46341,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2014-11,2.0,BOX,V305,38427,Howe Leather,2014-11,2000.0,38427,vic
46345,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2014-10,2.0,BOX,V305,38427,Howe Leather,2014-10,2000.0,38427,vic
46348,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2014-10,2.0,BOX,V305,38427,Howe Leather,2014-10,2000.0,38427,vic
46351,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2014-09,2.0,BOX,V305,38427,Howe Leather,2014-09,2000.0,38427,vic
46354,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2014-08,2.0,BOX,V305,38427,Howe Leather,2014-07,2000.0,38427,vic
46355,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2014-07,2.0,BOX,V305,38427,Howe Leather,2014-07,2000.0,38427,vic
46357,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2014-06,2.0,BOX,V305,38427,Howe Leather,2014-06,2000.0,38427,vic
46359,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2014-05,2.0,BOX,V305,38427,Howe Leather,2014-05,2000.0,38427,vic
46361,38427,Howe Leather,PAC10LB-1000,PAC 10LB Solution 1200KG,2014-05,2.0,BOX,V305,38427,Howe Leather,2014-04,2000.0,38427,vic
