,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
46146,10071,Water Corporation WA - Main account,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-02,1.0,BOX,V305,39361,NEERABUP-W Corp,2020-02,1000.0,10071,wa
46508,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2015-08,12.0,TO,N118,52471,BASF Wyong,2015-07,10084.03361344538,49602,wa
46509,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2015-08,12.0,TO,N118,52471,BASF Wyong,2015-07,10084.03361344538,49602,wa
46510,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2015-07,12.0,TO,N118,52471,BASF Wyong,2015-07,10084.03361344538,49602,wa
46511,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2015-07,19.0,TO,N118,52471,BASF Wyong,2015-07,15966.386554621851,49602,wa
46512,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2015-06,19.0,TO,N118,52471,BASF Wyong,2015-06,15966.386554621851,49602,wa
46513,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2015-06,12.0,TO,N118,52471,BASF Wyong,2015-06,10084.03361344538,49602,wa
46514,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2015-05,10.8,TO,N118,52471,BASF Wyong,2015-05,9075.630252100842,49602,wa
46515,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2015-04,10.8,TO,N118,52471,BASF Wyong,2015-04,9075.630252100842,49602,wa
46516,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2015-01,19.0,TO,N118,52471,BASF Wyong,2015-01,15966.386554621851,49602,wa
46517,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2015-01,19.0,TO,N118,52471,BASF Wyong,2015-01,15966.386554621851,49602,wa
46518,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-12,19.0,TO,N118,52471,BASF Wyong,2014-12,15966.386554621851,49602,wa
46519,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-12,12.0,TO,N118,52471,BASF Wyong,2014-12,10084.03361344538,49602,wa
46520,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-12,10.8,TO,N118,52471,BASF Wyong,2014-12,9075.630252100842,49602,wa
46521,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-12,19.0,TO,N118,52471,BASF Wyong,2014-12,15966.386554621851,49602,wa
46522,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-11,19.0,TO,N118,52471,BASF Wyong,2014-11,15966.386554621851,49602,wa
46523,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-11,10.8,TO,N118,52471,BASF Wyong,2014-11,9075.630252100842,49602,wa
46524,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-11,13.0,TO,N118,52471,BASF Wyong,2014-11,10924.36974789916,49602,wa
46525,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-10,12.0,TO,N118,52471,BASF Wyong,2014-10,10084.03361344538,49602,wa
46526,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-10,19.0,TO,N118,52471,BASF Wyong,2014-10,15966.386554621851,49602,wa
46527,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-09,12.0,TO,N118,52471,BASF Wyong,2014-09,10084.03361344538,49602,wa
46528,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-09,19.0,TO,N118,52471,BASF Wyong,2014-09,15966.386554621851,49602,wa
46529,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-08,19.0,TO,N118,52471,BASF Wyong,2014-08,15966.386554621851,49602,wa
46532,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-07,19.0,TO,N118,38485,Ciba - Wyong,2014-07,15966.386554621851,49602,wa
46533,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-06,12.0,TO,N118,52471,BASF Wyong,2014-06,10084.03361344538,49602,wa
46534,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-06,19.0,TO,N118,52471,BASF Wyong,2014-06,15966.386554621851,49602,wa
46535,49602,Solenis Australia Pty Ltd,PAC10LB-B,PAC 10LB Solution BULK,2014-05,12.0,TO,N118,52471,BASF Wyong,2014-05,10084.03361344538,49602,wa
