,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Quantity in L,SH_Customer No,state
45850,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-03,6.0,PLS,N118,53137,Robson Civil Projects Pty Limited,90.0,53137,nsw
45851,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-03,10.0,PLS,N118,53137,Robson Civil Projects Pty Limited,150.0,53137,nsw
45852,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-03,4.0,PLS,N118,53137,Robson Civil Projects Pty Limited,60.0,53137,nsw
45854,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-02,3.0,PLS,N118,53137,Robson Civil Projects Pty Limited,45.0,53137,nsw
45855,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-02,4.0,PLS,N118,53137,Robson Civil Projects Pty Limited,60.0,53137,nsw
45856,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-02,2.0,PLS,N118,53137,Robson Civil Projects Pty Limited,30.0,53137,nsw
45857,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-01,2.0,PLS,N118,53137,Robson Civil Projects Pty Limited,30.0,53137,nsw
45860,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-10,12.0,PLS,N118,53137,Robson Civil Projects Pty Limited,180.0,53137,nsw
45862,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-08,5.0,PLS,N118,53137,Robson Civil Projects Pty Limited,75.0,53137,nsw
45863,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-07,8.0,PLS,N118,53137,Robson Civil Projects Pty Limited,120.0,53137,nsw
45865,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-05,3.0,DRM,N118,53137,Robson Civil Projects Pty Limited,600.0,53137,nsw
45869,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC23-15 lts,2020-04,6.0,PLS,N118,53137,Robson Civil Projects Pty Limited,90.0,53137,nsw
45870,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-03,6.0,PLS,N118,53137,Robson Civil Projects Pty Limited,90.0,53137,nsw
45871,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-03,5.0,PLS,N118,53137,Robson Civil Projects Pty Limited,75.0,53137,nsw
45873,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-03,6.0,PLS,N118,53137,Robson Civil Projects Pty Limited,90.0,53137,nsw
45878,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-02,6.0,PLS,N118,53137,Robson Civil Projects Pty Limited,90.0,53137,nsw
45899,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2018-11,4.0,PLS,N118,53137,Robson Civil Projects Pty Limited,60.0,53137,nsw
45905,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2018-10,4.0,PLS,N118,53137,Robson Civil Projects Pty Limited,60.0,53137,nsw
45922,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2017-11,1.0,PLS,N118,53137,Robson Civil Projects Pty Limited,15.0,53137,nsw
45923,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2017-11,5.0,PLS,N118,53137,Robson Civil Projects Pty Limited,75.0,53137,nsw
45924,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2017-11,1.0,PLS,N118,53137,Robson Civil Projects Pty Limited,15.0,53137,nsw
