,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
50437,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2018-06,37.0,TO,N118,40879,Alice Springs DAF Plant,2018-05,27611.940298507463,9537,nt
50477,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2018-03,37.0,TO,N118,40879,Alice Springs DAF Plant,2018-02,27611.940298507463,9537,nt
50500,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2018-01,37.0,TO,N118,40879,Alice Springs DAF Plant,2018-01,27611.940298507463,9537,nt
50511,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-12,37.0,TO,N118,40879,Alice Springs DAF Plant,2017-12,27611.940298507463,9537,nt
50529,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-11,37.0,TO,N118,40879,Alice Springs DAF Plant,2017-10,27611.940298507463,9537,nt
50537,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-09,37.0,TO,N118,40879,Alice Springs DAF Plant,2017-09,27611.940298507463,9537,nt
50558,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-08,37.0,TO,N118,40879,Alice Springs DAF Plant,2017-08,27611.940298507463,9537,nt
50566,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-07,37.0,TO,N118,40879,Alice Springs DAF Plant,2017-07,27611.940298507463,9537,nt
50579,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-06,37.0,TO,N118,40879,Alice Springs DAF Plant,2017-05,27611.940298507463,9537,nt
50593,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-05,37.0,TO,N118,40879,Alice Springs DAF Plant,2017-04,27611.940298507463,9537,nt
50614,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-04,37.0,TO,N118,40879,Alice Springs DAF Plant,2017-03,27611.940298507463,9537,nt
50647,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-02,37.0,TO,N118,40879,Alice Springs DAF Plant,2017-02,27611.940298507463,9537,nt
50686,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-01,37.0,TO,N118,40879,Alice Springs DAF Plant,2017-01,27611.940298507463,9537,nt
50722,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-12,37.0,TO,N118,40879,Alice Springs DAF Plant,2016-12,27611.940298507463,9537,nt
50738,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-11,37.0,TO,N118,40879,Alice Springs DAF Plant,2016-10,27611.940298507463,9537,nt
50760,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-10,37.0,TO,N118,40879,Alice Springs DAF Plant,2016-09,27611.940298507463,9537,nt
50783,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-08,9.0,TO,N118,40879,Alice Springs DAF Plant,2016-08,6716.417910447762,9537,nt
50784,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-08,9.0,TO,N118,40879,Alice Springs DAF Plant,2016-08,6716.417910447762,9537,nt
50785,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-08,9.0,TO,N118,40879,Alice Springs DAF Plant,2016-08,6716.417910447762,9537,nt
50786,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-08,9.0,TO,N118,40879,Alice Springs DAF Plant,2016-08,6716.417910447762,9537,nt
50804,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-07,37.0,TO,N118,40879,Alice Springs DAF Plant,2016-07,27611.940298507463,9537,nt
50833,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-06,37.0,TO,N118,40879,Alice Springs DAF Plant,2016-06,27611.940298507463,9537,nt
