,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
46951,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2021-04,10.64,TO,N118,64520,Integrated Water Management,2021-04,7940.298507462687,64498,qld
46953,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2021-04,10.64,TO,N118,64520,Integrated Water Management,2021-04,7940.298507462687,64498,qld
46954,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2021-03,10.64,TO,N118,64520,Integrated Water Management,2021-03,7940.298507462687,64498,qld
46955,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2021-03,10.64,TO,N118,64520,Integrated Water Management,2021-03,7940.298507462687,64498,qld
46960,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2021-02,10.64,TO,N118,64520,Integrated Water Management,2021-02,7940.298507462687,64498,qld
46961,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2021-02,10.64,TO,N118,64520,Integrated Water Management,2021-02,7940.298507462687,64498,qld
46965,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-12,10.64,TO,N118,64520,Integrated Water Management,2020-12,7940.298507462687,64498,qld
46966,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-12,5.32,TO,N118,64520,Integrated Water Management,2020-12,3970.1492537313434,64498,qld
46967,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-12,5.32,TO,N118,64520,Integrated Water Management,2020-12,3970.1492537313434,64498,qld
46970,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-11,5.32,TO,N118,64520,Integrated Water Management,2020-11,3970.1492537313434,64498,qld
46972,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-11,5.32,TO,N118,64520,Integrated Water Management,2020-11,3970.1492537313434,64498,qld
46973,60861,Cleveland Bay Chemical Company Pty,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-11,11.0,IBC,Q336,64494,Cleveland Bay - EX WORKS (PICK-UP),2020-11,11000.0,60861,qld
46975,40823,CS Energy - Kogan Creek Power Stn,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-11,5.0,BOX,Q336,40823,CS Energy - Kogan Creek Power Stn,2020-11,5000.0,40823,qld
46977,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-11,5.32,TO,N118,64520,Integrated Water Management,2020-11,3970.1492537313434,64498,qld
46980,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-11,5.32,TO,N118,64520,Integrated Water Management,2020-11,3970.1492537313434,64498,qld
46981,64498,INTEGRATED WATER MANAGEMENT (iH2Om),PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-11,5.32,TO,N118,64520,Integrated Water Management,2020-10,3970.1492537313434,64498,qld
46982,62019,Industrial Cleansers Pty. Ltd.,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-11,1.33,TO,Q336,62019,Industrial Cleansers Pty. Ltd.,2020-10,992.5373134328358,62019,qld
46983,62019,Industrial Cleansers Pty. Ltd.,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-10,1.33,TO,Q336,62019,Industrial Cleansers Pty. Ltd.,2020-10,992.5373134328358,62019,qld
