,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
46704,55472,Tas Water,PAC23-15,PAC 23 SOLUTION - 15L,2021-02,10.0,PLY,V305,52017,Turriff Lodge Sewerage Treatment Pl,2021-02,150.0,55472,tas
46709,55472,Tas Water,PAC23-15,PAC 23 SOLUTION - 15L,2020-12,10.0,PLY,V305,52017,Turriff Lodge Sewerage Treatment Pl,2020-11,150.0,55472,tas
46825,59631,SEAFISH TASMANIA PELAGIC PTY LTD,PAC23-15,PAC 23 SOLUTION - 15L,2015-09,5.0,DRM,V305,59644,Wettenhalls Transport,2015-09,1000.0,59631,tas
46997,55472,Tas Water,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-09,1.33,TO,T101,60407,Lady Baron WTP (TasWater),2020-08,992.5373134328358,55472,tas
47003,55472,Tas Water,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-08,1.33,TO,T101,65662,SeaRoad Logistics,2020-08,992.5373134328358,55472,tas
47005,55472,Tas Water,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-08,1.33,TO,T101,61693,Tunbridge WTP,2020-08,992.5373134328358,55472,tas
47008,55472,Tas Water,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-08,2.66,TO,V305,65662,SeaRoad Logistics,2020-08,1985.0746268656717,55472,tas
47024,55472,Tas Water,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-07,5.32,TO,V305,65662,SeaRoad Logistics,2020-07,3970.1492537313434,55472,tas
47031,55472,Tas Water,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-06,3.99,TO,V305,65662,SeaRoad Logistics,2020-06,2977.6119402985078,55472,tas
47046,55472,Tas Water,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-05,2.66,TO,V305,65662,SeaRoad Logistics,2020-04,1985.0746268656717,55472,tas
47049,55472,Tas Water,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-05,1.33,TO,T101,59536,Tas Water St Marys Depot,2020-04,992.5373134328358,55472,tas
47051,55472,Tas Water,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-04,1.33,TO,T101,60407,Lady Baron WTP (TasWater),2020-04,992.5373134328358,55472,tas
47066,55472,Tas Water,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-04,1.33,TO,V305,64655,Currie Cargoes Pty Ltd,2020-03,992.5373134328358,55472,tas
47067,55472,Tas Water,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-04,2.66,TO,T101,64655,Currie Cargoes Pty Ltd,2020-03,1985.0746268656717,55472,tas
