,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
46700,2108,Zoological Board Of Victoria,PAC23-15,PAC 23 SOLUTION - 15L,2021-04,4.0,PLY,V305,39168,Melbourne Zoo - Wild Seas,2021-04,60.0,2108,vic
46710,46555,Greater City of Geelong,PAC23-15,PAC 23 SOLUTION - 15L,2020-12,6.0,PLY,V305,46607,Kardinia Pool,2020-12,90.0,46555,vic
46712,22851,Belgravia Leisure Pty Ltd,PAC23-15,PAC 23 SOLUTION - 15L,2020-10,4.0,PLY,V305,45931,Whittlesea Pool,2020-10,60.0,22851,vic
46715,2108,Zoological Board Of Victoria,PAC23-15,PAC 23 SOLUTION - 15L,2020-06,4.0,PLY,V305,39168,Melbourne Zoo - Wild Seas,2020-06,60.0,2108,vic
46717,46555,Greater City of Geelong,PAC23-15,PAC 23 SOLUTION - 15L,2020-04,3.0,PLY,V305,46607,Kardinia Pool,2020-04,45.0,46555,vic
46718,1834,Veolia Environmental Services,PAC23-15,PAC 23 SOLUTION - 15L,2020-04,3.0,PLY,V305,65339,Veolia Penshurst,2020-04,45.0,1834,vic
46719,1834,Veolia Environmental Services,PAC23-15,PAC 23 SOLUTION - 15L,2020-04,14.0,PLY,V305,65571,Veolia - CFA Training Ground,2020-03,210.0,1834,vic
46723,97122,SNL Building,PAC23-15,PAC 23 SOLUTION - 15L,2020-03,8.0,PLY,V305,97122,Cash Sale Account - Ixom Operations,2020-03,120.0,97122,vic
46725,22851,Belgravia Leisure Pty Ltd,PAC23-15,PAC 23 SOLUTION - 15L,2020-03,2.0,PLY,V305,59287,Ascot Vale Leisure Centre,2020-03,30.0,22851,vic
46726,46555,Greater City of Geelong,PAC23-15,PAC 23 SOLUTION - 15L,2020-03,1.0,PLY,V305,46605,Splashdown,2020-02,15.0,46555,vic
46727,97122,SNL Building,PAC23-15,PAC 23 SOLUTION - 15L,2020-03,6.0,DRM,N118,97122,Cash Sale Account - Ixom Operations,2020-02,1200.0,97122,vic
46728,22851,Belgravia Leisure Pty Ltd,PAC23-15,PAC 23 SOLUTION - 15L,2020-02,2.0,PLY,V305,59287,Ascot Vale Leisure Centre,2020-02,30.0,22851,vic
46730,1834,Veolia Environmental Services,PAC23-15,PAC 23 SOLUTION - 15L,2020-02,14.0,PLY,V305,65339,Veolia Penshurst,2020-02,210.0,1834,vic
46731,22851,Belgravia Leisure Pty Ltd,PAC23-15,PAC 23 SOLUTION - 15L,2020-02,1.0,PLY,V305,47784,Yarra  Centre,2020-01,15.0,22851,vic
