,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
46769,10071,Water Corporation WA - Main account,PAC23-15,PAC 23 SOLUTION - 15L,2018-01,10.0,PLY,V305,28881,BEENYUP-W Corp,2018-01,150.0,10071,wa
46777,10071,Water Corporation WA - Main account,PAC23-15,PAC 23 SOLUTION - 15L,2017-09,20.0,PLY,V305,28881,BEENYUP-W Corp,2017-08,300.0,10071,wa
46812,53143,Yara Pilbara Fertilisers Pty Ltd,PAC23-15,PAC 23 SOLUTION - 15L,2016-03,4.0,DRM,V305,59842,YARA PILBARA STORE c/o CENTURION TR,2016-03,800.0,53143,wa
46815,10071,Water Corporation WA - Main account,PAC23-15,PAC 23 SOLUTION - 15L,2016-02,16.0,DRM,V305,28881,BEENYUP-W Corp,2016-01,3200.0,10071,wa
46816,53143,Yara Pilbara Fertilisers Pty Ltd,PAC23-15,PAC 23 SOLUTION - 15L,2016-02,4.0,DRM,V305,59842,YARA PILBARA STORE c/o CENTURION TR,2015-12,800.0,53143,wa
46822,53143,Yara Pilbara Fertilisers Pty Ltd,PAC23-15,PAC 23 SOLUTION - 15L,2015-11,4.0,DRM,V305,59842,YARA PILBARA STORE c/o CENTURION TR,2015-10,800.0,53143,wa
46826,53143,Yara Pilbara Fertilisers Pty Ltd,PAC23-15,PAC 23 SOLUTION - 15L,2015-08,4.0,DRM,V305,59240,Yara Pilbara Ferilisers,2015-08,800.0,53143,wa
46864,57185,Department of Parks and Wildlife,PAC23-15,PAC 23 SOLUTION - 15L,2014-08,15.0,L,W300,57185,Department of Parks and Wildlife,2014-08,15.0,57185,wa
46895,10071,Water Corporation WA - Main account,PAC23-15,PAC 23 SOLUTION - 15L,2013-07,8.0,DRM,W300,39360,NARROGIN-W Corp,2013-07,1600.0,10071,wa
46947,10071,Water Corporation WA - Main account,PAC23-15,PAC 23 SOLUTION - 15L,,1.0,PLY,V305,28881,BEENYUP-W Corp,2017-09,15.0,10071,wa
46959,49602,Solenis Australia Pty Ltd,PAC23-1330,Magnasol 576 1330KG 31HA1,2021-02,7.98,TO,N118,49602,Solenis Australia Pty Ltd,2021-02,5955.2238805970155,49602,wa
47001,49602,Solenis Australia Pty Ltd,PAC23-1330,Magnasol 576 1330KG 31HA1,2020-08,5.0,IBC,N118,59913,Toll Chemical Logistics - Sydney,2020-08,5000.0,49602,wa
47057,4376,BORVEK PTY. LTD.,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-04,3.0,IBC,3RDW,4376,BORVEK PTY. LTD.,2020-02,3000.0,4376,wa
47058,4376,BORVEK PTY. LTD.,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-04,3.0,IBC,3RDW,4376,BORVEK PTY. LTD.,2020-02,3000.0,4376,wa
47059,4376,BORVEK PTY. LTD.,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-04,3.0,IBC,3RDW,4376,BORVEK PTY. LTD.,2020-02,3000.0,4376,wa
47060,4376,BORVEK PTY. LTD.,PAC23-1330,PAC 23 SOLUTION - 1330KG,2020-04,3.0,IBC,3RDW,4376,BORVEK PTY. LTD.,2020-02,3000.0,4376,wa
