Material,Delivery Date,Quantity in L
ALUSUL08-1000,2010-01,16000.0
ALUSUL08-1000,2010-02,11000.0
ALUSUL08-1000,2010-03,26000.0
ALUSUL08-1000,2010-04,45000.0
ALUSUL08-1000,2010-05,25977.09923664122
ALUSUL08-1000,2010-06,34763.35877862596
ALUSUL08-1000,2010-07,23988.549618320612
ALUSUL08-1000,2010-08,52553.43811450382
ALUSUL08-1000,2010-09,82053.43511450382
ALUSUL08-1000,2010-10,77000.0
ALUSUL08-1000,2010-11,39007.63358778626
ALUSUL08-1000,2010-12,36000.0
ALUSUL08-1000,2011-01,28954.198473282442
ALUSUL08-1000,2011-02,25000.0
ALUSUL08-1000,2011-03,36969.465648854966
ALUSUL08-1000,2011-04,36977.099236641225
ALUSUL08-1000,2011-05,29000.0
ALUSUL08-1000,2011-06,31000.0
ALUSUL08-1000,2011-07,41000.0
ALUSUL08-1000,2011-08,61000.0
ALUSUL08-1000,2011-09,41000.0
ALUSUL08-1000,2011-10,25000.0
ALUSUL08-1000,2011-11,7000.0
ALUSUL08-1000,2011-12,26977.09923664122
ALUSUL08-1000,2012-01,11931.297709923663
ALUSUL08-1000,2012-02,16977.09923664122
ALUSUL08-1000,2012-03,13977.099236641221
ALUSUL08-1000,2012-04,17000.0
ALUSUL08-1000,2012-05,12000.0
ALUSUL08-1000,2012-06,19000.0
ALUSUL08-1000,2012-07,3000.0
ALUSUL08-1000,2012-08,39000.0
ALUSUL08-1000,2012-09,38000.0
ALUSUL08-1000,2012-10,32000.0
ALUSUL08-1000,2012-11,16000.0
ALUSUL08-1000,2012-12,20000.0
ALUSUL08-1000,2013-01,26206.106870229007
ALUSUL08-1000,2013-02,13988.54961832061
ALUSUL08-1000,2013-03,23682.847328244276
ALUSUL08-1000,2013-04,19919.847328244276
ALUSUL08-1000,2013-05,39828.24427480916
ALUSUL08-1000,2013-06,16896.946564885497
ALUSUL08-1000,2013-07,31782.442748091602
ALUSUL08-1000,2013-08,35770.99236641222
ALUSUL08-1000,2013-09,36622.137404580164
ALUSUL08-1000,2013-10,35702.29007633589
ALUSUL08-1000,2013-11,40725.190839694675
ALUSUL08-1000,2013-12,25931.297709923674
ALUSUL08-1000,2014-01,38286.25954198475
ALUSUL08-1000,2014-02,60587.786259542016
ALUSUL08-1000,2014-03,24927.48091603054
ALUSUL08-1000,2014-04,25862.595419847337
ALUSUL08-1000,2014-05,31782.442748091617
ALUSUL08-1000,2014-06,36702.29007633589
ALUSUL08-1000,2014-07,20828.244274809167
ALUSUL08-1000,2014-08,23648.85496183206
ALUSUL08-1000,2014-09,15694.656488549617
ALUSUL08-1000,2014-10,23908.396946564888
ALUSUL08-1000,2014-11,16942.748091603054
ALUSUL08-1000,2014-12,33736.64122137407
ALUSUL08-1000,2015-01,48713.740458015294
ALUSUL08-1000,2015-02,32400.763358778644
ALUSUL08-1000,2015-03,21885.49618320611
ALUSUL08-1000,2015-04,21839.69465648856
ALUSUL08-1000,2015-05,17896.946564885497
ALUSUL08-1000,2015-06,29886.496183206116
ALUSUL08-1000,2015-07,24864.595419847337
ALUSUL08-1000,2015-08,28908.39694656489
ALUSUL08-1000,2015-09,18977.09923664122
ALUSUL08-1000,2015-10,30942.748091603054
ALUSUL08-1000,2015-11,17931.297709923663
ALUSUL08-1000,2015-12,32782.44274809161
ALUSUL08-1000,2016-01,20942.748091603058
ALUSUL08-1000,2016-02,17942.748091603054
ALUSUL08-1000,2016-03,23965.64885496183
ALUSUL08-1000,2016-04,21977.09923664122
ALUSUL08-1000,2016-05,26931.297709923667
ALUSUL08-1000,2016-06,15000.0
ALUSUL08-1000,2016-07,29316.79389312977
ALUSUL08-1000,2016-08,20374.045801526718
ALUSUL08-1000,2016-09,20351.145038167946
ALUSUL08-1000,2016-10,16000.0
ALUSUL08-1000,2016-11,19988.549618320612
ALUSUL08-1000,2016-12,17965.64885496183
ALUSUL08-1000,2017-01,11000.0
ALUSUL08-1000,2017-02,11965.648854961832
ALUSUL08-1000,2017-03,12965.648854961832
ALUSUL08-1000,2017-04,16965.648854961833
ALUSUL08-1000,2017-05,15244.274809160304
ALUSUL08-1000,2017-06,23400.763358778633
ALUSUL08-1000,2017-07,9000.0
ALUSUL08-1000,2017-08,20000.0
ALUSUL08-1000,2017-09,14988.54961832061
ALUSUL08-1000,2017-10,23664.12213740458
ALUSUL08-1000,2017-11,26000.0
ALUSUL08-1000,2017-12,20988.549618320612
ALUSUL08-1000,2018-01,21053.435114503816
ALUSUL08-1000,2018-02,15969.46564885496
ALUSUL08-1000,2018-03,17965.648854961833
ALUSUL08-1000,2018-04,33919.84732824427
ALUSUL08-1000,2018-05,29977.099236641225
ALUSUL08-1000,2018-06,24931.297709923667
ALUSUL08-1000,2018-07,22809.0
ALUSUL08-1000,2018-08,33885.496183206116
ALUSUL08-1000,2018-09,8000.0
ALUSUL08-1000,2018-10,33000.0
ALUSUL08-1000,2018-11,9000.0
ALUSUL08-1000,2018-12,25000.0
ALUSUL08-1000,2019-01,45977.099236641225
ALUSUL08-1000,2019-02,12988.54961832061
ALUSUL08-1000,2019-03,46729.00763358779
ALUSUL08-1000,2019-04,39740.458015267184
ALUSUL08-1000,2019-05,34000.0
ALUSUL08-1000,2019-06,21000.0
ALUSUL08-1000,2019-07,43954.19847328244
ALUSUL08-1000,2019-08,16954.198473282442
ALUSUL08-1000,2019-09,18000.0
ALUSUL08-1000,2019-10,25053.435114503816
ALUSUL08-1000,2019-11,31000.0
ALUSUL08-1000,2019-12,34000.0
ALUSUL08-1000,2020-01,5977.099236641221
ALUSUL08-1000,2020-02,13977.099236641221
ALUSUL08-1000,2020-03,20969.465648854963
ALUSUL08-1000,2020-04,15954.198473282442
ALUSUL08-1000,2020-05,13977.099236641221
ALUSUL08-1000,2020-06,6931.297709923663
ALUSUL08-1000,2020-07,11931.297709923663
ALUSUL08-1000,2020-08,3526.717557251908
ALUSUL08-1000,2020-09,3000.0
ALUSUL08-1000,2020-10,3000.0
ALUSUL08-1000,2020-11,4015.267175572519
ALUSUL08-1000,2020-12,6053.435114503816
ALUSUL08-1000,2021-01,2977.099236641221
ALUSUL08-1000,2021-02,15816.79389312977
ALUSUL08-1000,2021-03,9954.198473282442
ALUSUL08-1000,2021-04,8931.297709923663
ALUSUL08-1000NR,2018-02,3000.0
