Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
54188,Trility Australia Pty Ltd,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2015-09,1.0,BOX,V114,53176,Royal Children's Hospital (WJP),2015-09,1000.0,54188,vic
2340,South Gippsland Region Water,MHL-B,Magnesium Hydroxide Liquid,2015-12,2.25,TO,V114,59462,LOCH SPS,2015-11,1500.0,2340,vic
9580,Mondelez Australia Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2015-11,23.0,TO,V114,9581,Cadbury  - Claremont,2015-11,15333.333333333332,9580,tas
4978,Richmond Valley Council,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2015-11,1.0,BOX,Q336,59968,RED & WHITE Group,2015-11,1000.0,4978,nsw
41457,Mackay Regional Council,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2016-02,6.0,BOX,Q336,52618,Mackay Regional Council Warehouse,2016-02,6000.0,41457,qld
34491,Downer Utilities Australia Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2016-04,4.5,TO,V114,7987,SUNBURY WWTP,2016-04,3000.0,34491,nsw
97376,Environmental Surface Solutions P/L,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2016-04,1.0,BOX,Q336,59968,RED & WHITE Group,2016-04,1000.0,97376,vic
60948,Aquachemie Limited,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2016-08,14.0,BOX,V114,60948,Aquachemie Limited,2016-08,14000.0,,
60958,Fraser Coast Regional Council,MHL-B,Magnesium Hydroxide Liquid,,9.126,TO,Q329,58364,Beach Road ( PUMP STATION 4),2016-08,6083.999999999999,60958,qld
10206,Bundaberg Regional Council,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2016-09,1.0,BOX,Q336,61180,Bundaberg RC East Works Depot,2016-09,1000.0,10206,qld
60691,Lactalis Australia YD Pty Ltd,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-02,1.0,BOX,T309,61640,Parmalat - Tamar Valley,2017-02,1000.0,60691,qld
21467,Ixom Watercare Inc,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-03,1.0,BOX,V114,21467,Ixom Watercare Inc,2017-02,1000.0,,
51973,Hardman Chemicals Equity P/L,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-06,1.0,BOX,V114,51973,Hardman Chemicals Equity P/L,2017-06,1000.0,51973,nsw
50268,Cook Shire Council,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-07,2.0,BOX,Q336,50268,Cook Shire Council,2017-06,2000.0,50268,qld
62035,Port of Brisbane,MHL-B,Magnesium Hydroxide Liquid,2017-08,23.55,TO,Q329,62321,PoB - Luggage Point,2017-08,15700.0,62035,qld
62637,Factor UTB Pty Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-11,1.0,BOX,W300,62640,Acacia Prison,2017-11,1000.0,62637,sa
9824,Accolade Wines Australia Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-11,2.0,BOX,V114,25492,Berri Estate (Hardy Wine Co),2017-11,2000.0,9824,sa
62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-11,10.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,2017-11,10000.0,62685,wa
61968,Earthpower Technologies Sydney P/L,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-03,1.0,BOX,V114,61966,EarthPower Technologies Sydney P/L,2018-02,1000.0,61968,nsw
41362,North Burnett Regional Council,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-03,1.0,BOX,Q336,22811,Gayndah Water Treatment,2018-03,1000.0,41362,qld
62944,Mid-Coast Council,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-04,1.0,BOX,V114,62944,Mid-Coast Council,2018-03,1000.0,62944,nsw
63061,DGL Manufacturing Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,,21.0,TO,V106,63061,DGL Manufacturing Pty Ltd,2018-04,14000.0,63061,nsw
63184,Saputo Dairy Australia Pty Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-06,2.0,BOX,V114,63192,Main Tank - Leongatha,2018-05,2000.0,63184,vic
9776,Agent Sales & Services Pty Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-07,2.0,BOX,W300,9776,Agent Sales & Services Pty Ltd,2018-07,2000.0,9776,wa
9537,Power & Water Corporation,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-07,8.0,BOX,V114,63398,ALTO,2018-07,8000.0,9537,nt
63449,FLOW SYSTEMS PTY LTD,MHL-B,Magnesium Hydroxide Liquid,2018-08,1.5,TO,N315,63484,Flow System - Huntlee,2018-08,1000.0,63449,nsw
46719,Interflow Pty Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-09,1.0,BOX,V114,63642,Interflow,2018-09,1000.0,46719,nsw
22931,Loral Ipsum (Aust) Pty Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-09,1.0,BOX,V114,22931,Loral Ipsum (Aust) Pty Ltd,2018-09,1000.0,22931,vic
2356,Tasman Chemicals Pty Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-09,1.0,BOX,V114,63648,A J Bush & Sons (Manuf) Pty Ltd,2018-09,1000.0,2356,vic
63779,WATERWERX OPERATIONS PTY LTD,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-10,2.0,BOX,V114,63780,Nestle,2018-10,2000.0,63779,vic
63772,Saputo Leongatha,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-11,2.0,BOX,V114,63192,Main Tank - Leongatha,2018-11,2000.0,63772,vic
64152,WATERWERX PTY LTD,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-03,2.0,BOX,V114,63780,Nestle,2019-02,2000.0,64152,vic
63793,Saputo Cobram,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-03,2.0,BOX,V114,63190,Broadway Street - Cobram,2019-03,2000.0,63793,vic
31845,Agrana Fruit Australia Pty Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-06,2.0,BOX,V114,31845,Agrana Fruit Australia Pty Ltd,2019-06,2000.0,31845,nsw
1874,EE Muir & Sons Pty Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-06,1.0,BOX,W300,64654,E.E.Muir & Sons Pty Ltd.W.A.,2019-06,1000.0,1874,vic
3046,North East Region Water Authority,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2019-07,2.0,BOX,V114,3051,Beechworth WTP & Yackandandah,2019-07,2000.0,3046,vic
