Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
58315,Community Association DP No 270215,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-02,1000.0,L,N106,58319,The Glass house,2015-02,1000.0,58315,nsw
57943,Cooinda Lodge Kakadu,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2015-02,4.0,DRM,D106,57943,Cooinda Lodge Kakadu,2015-02,800.0,57943,nt
57787,IDT Australia Limited,SODHYP13-200,SODIUM HYPOCHLORITE 13% - 200l,2015-02,2.0,DRM,V305,57787,IDT Australia Limited,2015-02,400.0,57787,vic
1435,Tandex Pty Ltd,SODHYP13-1000BB,SODIUM HYPOCHLORITE 13% - 1000L IBC,2015-02,1.0,BOX,V218,1435,Tandex Pty Ltd,2015-02,1000.0,1435,vic
1826,City Of Maribyrnong,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-02,3000.0,L,V116,1826,City Of Maribyrnong,2015-02,3000.0,1826,vic
55495,Remondis Australia Pty Ltd,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2015-03,1.0,BOX,Q336,55495,Remondis Australia Pty Ltd,2015-03,1000.0,55495,qld
1226,Ivanhoe Grammar School,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-03,1000.0,L,V116,19941,Ivanhoe Grammar School,2015-03,1000.0,1226,vic
58332,Price Chemicals,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-03,21000.0,L,N106,58332,Price Chemicals,2015-03,21000.0,58332,nsw
58904,Veolia Water Operations Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-04,20000.0,L,Q329,57867,QGC NWTP,2015-04,20000.0,58904,qld
58803,Orica Ground Water Treatment Plant.,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-04,1200.0,L,N106,53362,Ixom Cooling Towers,2015-04,1200.0,58803,nsw
58997,Trility Water Pty Ltd - VIC,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-05,2000.0,L,V218,56951,Rochester WWTP,2015-05,2000.0,58997,vic
59142,Bluewaters Power Services Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2015-06,7000.0,L,W205,41549,Bluewater Power Station,2015-06,7000.0,59142,nsw
35456,Bathurst Regional Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-07,7000.0,L,N106,18888,Bathurst Water Filtration Plant,2015-07,7000.0,35456,nsw
59146,The Pool Merchant Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-07,22000.0,L,N106,59146,The Pool Merchant Pty Ltd,2015-07,22000.0,59146,nsw
59307,Ventia Australia Pty Ltd- Vic,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-07,1000.0,L,V127,59264,RAAF Base East Sale,2015-07,1000.0,59307,vic
59008,Visy Trading Singapore Pte Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-08,3000.0,L,N106,8923,Visy Paper 3&6 Pty Ltd,2015-08,3000.0,,
10412,Colgate Palmolive,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,,1.0,L,Q300,10412,Colgate Palmolive,2015-08,1.0,10412,qld
59492,Pristine Pools and Spas,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2015-08,1.0,DRM,D106,59492,Pristine Pools and Spas,2015-08,200.0,59492,nt
51899,Tarong Power,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2015-09,1.0,BOX,Q336,21129,Tarong Power Station,2015-08,1000.0,51899,qld
6586,Dubbo City Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-09,12000.0,L,N106,59595,Dubbo STP,2015-09,12000.0,6586,nsw
2964,Whitehorse City Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-09,2800.0,L,V116,59577,Whitehorse City Council-Forest Hill,2015-09,2800.0,2964,vic
4750,Chemform,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2015-09,6000.0,L,W205,59617,Chemform - Bulk,2015-09,6000.0,4750,wa
59514,Veolia Water Operations Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-09,20000.0,L,N106,57085,Kooragang Recycled Water Scheme,2015-09,20000.0,59514,nsw
59631,SEAFISH TASMANIA PELAGIC PTY LTD,SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2015-09,5.0,PLY,V305,59644,Wettenhalls Transport,2015-09,75.0,59631,tas
59890,Commercial Aquatics Australia Pty L,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-11,2000.0,L,T300,59905,Barossa Wellness & Community Centre,2015-11,2000.0,59890,wa
1005,Ixom Operations Pty Ltd,SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2016-01,8.0,PLY,V305,48211,MIEX - Deer Park,2016-01,120.0,1005,vic
35430,Mid-Western Regional Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02,3500.0,L,N106,60093,Mudgee WTP-Hypo,2016-01,3500.0,35430,nsw
57717,Ventia Australia Pty Ltd - WA,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2016-02,2000.0,L,D106,42031,Robertson Army Barracks South Pool,2016-02,2000.0,57717,wa
60190,Poolwerx Ellenbrook Mobile Pool Ser,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2016-02,1500.0,L,W205,58046,RAAF Base Pearce,2016-02,1500.0,60190,wa
4097,Alexandrina Council,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2016-02,1.0,BOX,S106,60281,Mt Compass Site ( Alexandrina Counc,2016-02,1000.0,4097,sa
49745,Qld Urban Utilities,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02,1000.0,L,Q329,60163,Kalbar STP,2016-02,1000.0,49745,qld
21948,Greenham Tasmania Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02,1.0,L,N106,21948,Greenham Tasmania Pty Ltd,2016-02,1.0,21948,tas
7027,Walgett Shire Council,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2016-03,3.0,BOX,3RDN,59417,Collarenabri WTP,2016-03,3000.0,7027,nsw
60209,Corporate Health Management,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-03,1000.0,L,Q329,42179,Health Stream Aquatic Centre,2016-03,1000.0,60209,vic
60664,Crocosaurus Cove Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2016-06,2000.0,L,D106,60692,Croc Farm,2016-05,2000.0,60664,nt
42021,Veolia Water Operations Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-05,8000.0,L,Q329,42341,Luggage Point AWTP,2016-05,8000.0,42021,qld
60844,Georges River Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-08,1500.0,L,N106,54829,Sans Souci Olympic Pool Outdoor,2016-07,1500.0,60844,nsw
7747,Houghton Australia Pty Ltd,SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2016-07,2.0,PLY,V305,60781,Orora Beverage Cans,2016-07,30.0,7747,vic
10408,Chemical House Pty Ltd,SODHYP13-200,SODIUM HYPOCHLORITE 13% - 200l,,4.0,DRM,Q336,10408,Chemical House Pty Ltd,2016-07,800.0,10408,qld
5763,Advanced Chemicals,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2016-08,4.0,BOX,N323,5763,Advanced Chemicals,2016-08,4000.0,5763,nsw
60836,Queanbeyan - Palerang Regional Coun,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-09,2000.0,L,N106,56211,Queanbeyan Aquatic Centre,2016-08,2000.0,60836,nsw
8202,Nufarm Australia Limited,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2016-08,2.0,BOX,V218,59364,Nufarm Australia,2016-08,2000.0,8202,vic
60726,Canterbury-Bankstown Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-08,1000.0,L,N106,52372,Wran Leisure Centre,2016-08,1000.0,60726,nsw
60905,Illawarra Coatings Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-08,1000.0,L,N106,60905,Illawarra Coatings Pty Ltd,2016-08,1000.0,60905,nsw
41559,PROGRAMMED Facility Management,SODHYP13-1000BB,SODIUM HYPOCHLORITE 13% - 1000L IBC,2016-09,1.0,BOX,V218,61174,City west water,2016-09,1000.0,41559,wa
4425,Australian Mud Company Pty Ltd,SODHYP13-200,SODIUM HYPOCHLORITE 13% - 200l,2016-09,3.0,DRM,V305,61176,Drilling Contractors Australia,2016-09,600.0,4425,wa
61063,Blacktown Venue Management Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,,1800.0,L,N106,7138,Charlie Lowles - Outdoor Pool,2016-09,1800.0,61063,nsw
61177,City of Canterbury Bankstown,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,,809.0,L,N106,54201,Revesby Swim Outdoor Pool,2016-09,809.0,61177,nsw
60845,Inner West Council - Leichhardt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-09,1000.0,L,N106,52254,Ashfield Aquatic Centre,2016-09,1000.0,60845,nsw
60944,Central Coast Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-09,1200.0,L,N106,7053,Toukley Treatment Works,2016-09,1200.0,60944,nsw
60846,Federation Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10,1400.0,L,V218,3478,Oaklands South Pool,2016-10,1400.0,60846,nsw
61232,Clear Cover Industries Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10,7000.0,L,N106,61232,Clear Cover Industries Pty Ltd,2016-10,7000.0,61232,nsw
61199,Cumberland Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10,1500.0,L,N106,7275,Guildford Pool,2016-10,1500.0,61199,nsw
2238,Hydro-Chem Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10,10000.0,L,V116,61179,Hydro Chem,2016-10,10000.0,2238,vic
60875,Dubbo Regional Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10,15000.0,L,N106,59595,Dubbo STP,2016-10,15000.0,60875,nsw
61207,Sea Lyons Aquatic,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10,3000.0,L,T300,61207,Sea Lyons Aquatic,2016-10,3000.0,61207,tas
60932,The Olive Tree,SODHYP13-200,SODIUM HYPOCHLORITE 13% - 200l,2016-11,1.0,DRM,V305,60932,The Olive Tree,2016-11,200.0,60932,vic
52317,Wilpinjong Coal Pty Ltd,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2016-11,1.0,BOX,N222,53185,Wilpinjong Coal Mine,2016-11,1000.0,52317,qld
4081,Coober Pedy District Council,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2016-12,1.0,BOX,S106,56541,McArdle Freight,2016-12,1000.0,4081,sa
46318,International Quadratics Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01,23000.0,L,N106,60297,International Quadratics Pty Ltd,2016-12,23000.0,46318,nsw
61467,Ezy Chlor,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,,9969.0,L,N106,56238,Ezy Chlor Pty Ltd,2016-12,9969.0,61467,nsw
61426,Goornong Rec Reserve Committee Inco,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12,1000.0,L,V218,1940,Goornong Pool,2016-12,1000.0,61426,vic
5662,Dept of Agriculture and Fisheries (,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12,13500.0,L,Q329,61458,Dept of Agriculture & Fisheries,2016-12,13500.0,5662,qld
6803,Narrabri Shire Council,SODHYP13-200,SODIUM HYPOCHLORITE 13% - 200l,2016-12,4.0,DRM,N222,49236,Narrabri Council Depot,2016-12,800.0,6803,nsw
61380,Golden Square Pool Inc A0058968G,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12,1000.0,L,V218,61400,Golden Square Pool,2016-12,1000.0,61380,vic
61488,Raywood Swimming Pool,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12,1000.0,L,V218,1934,Raywood Pool,2016-12,1000.0,61488,vic
38251,Roxby Downs Cultural & Leisure,SODHYP13-15NR,SODIUM HYPOCHLORITE 13%- 15L Non Ret,2017-01,48.0,PLY,S303,41062,BSH Transport Solutions,2017-01,720.0,38251,sa
22634,Veolia Water Operations Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01,1000.0,L,V218,29728,General Water - Specimen Hill,2017-01,1000.0,22634,vic
61373,MURRAY RIVER COUNCIL,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02,1000.0,L,V218,41119,Mathoura Pool,2017-01,1000.0,61373,nsw
9265,Parexgroup Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02,1.0,L,N106,9265,Parexgroup Pty Ltd,2017-01,1.0,9265,nsw
54092,Conquest Mining Pty Limited,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2017-03,2.0,BOX,Q336,59437,Mt Carlton Mine C\- Cube Logistics,2017-02,2000.0,54092,qld
