Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
57787,IDT Australia Limited,SODHYP13-200,SODIUM HYPOCHLORITE 13% - 200l,2015-02,2.0,DRM,V305,57787,IDT Australia Limited,2015-02,400.0,57787,vic
1435,Tandex Pty Ltd,SODHYP13-1000BB,SODIUM HYPOCHLORITE 13% - 1000L IBC,2015-02,1.0,BOX,V218,1435,Tandex Pty Ltd,2015-02,1000.0,1435,vic
1826,City Of Maribyrnong,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-02,3500.0,L,V116,1826,City Of Maribyrnong,2015-02,3500.0,1826,vic
58315,Community Association DP No 270215,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-02,1000.0,L,N106,58319,The Glass house,2015-02,1000.0,58315,nsw
57943,Cooinda Lodge Kakadu,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2015-02,4.0,DRM,D106,57943,Cooinda Lodge Kakadu,2015-02,800.0,57943,nt
58332,Price Chemicals,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,,703089.0,L,N106,58332,Price Chemicals,2015-03,703089.0,58332,nsw
55495,Remondis Australia Pty Ltd,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2015-03,1.0,BOX,Q336,55495,Remondis Australia Pty Ltd,2015-03,1000.0,55495,qld
1226,Ivanhoe Grammar School,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-03,1000.0,L,V116,19941,Ivanhoe Grammar School,2015-03,1000.0,1226,vic
58904,Veolia Water Operations Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-04,20000.0,L,Q329,57867,QGC NWTP,2015-04,20000.0,58904,qld
58803,Orica Ground Water Treatment Plant.,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-04,1200.0,L,N106,53362,Ixom Cooling Towers,2015-04,1200.0,58803,nsw
58910,Hazelwood Power,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2015-04,15.0,TO,V127,7741,Hazelwood Power Corp-Receiving,2015-04,11450.381679389313,58910,vic
21634,Visy Pulp & Paper (VP9) Pty Ltd,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2015-05,37.0,TO,V127,20672,Visy Paper (Tumut),2015-04,28244.274809160306,21634,nsw
58997,Trility Water Pty Ltd - VIC,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-05,2000.0,L,V218,56951,Rochester WWTP,2015-05,2000.0,58997,vic
8089,Dow Performance Materials (Australi,PAC23-1330,PAC 23 SOLUTION - 1330KG,2015-05,5.0,IBC,V305,8089,Dow Performance Materials (Australi,2015-05,5000.0,8089,vic
10408,Chemical House Pty Ltd,PAC23-1330,PAC 23 SOLUTION - 1330KG,2015-10,1.33,TO,Q336,10408,Chemical House Pty Ltd,2015-06,992.5373134328358,10408,qld
59142,Bluewaters Power Services Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2015-06,7000.0,L,W205,41549,Bluewater Power Station,2015-06,7000.0,59142,nsw
31077,Burra Foods Pty Ltd,PAC23-1330,PAC 23 SOLUTION - 1330KG,2015-06,1.33,TO,V305,31077,Burra Foods Pty Ltd,2015-06,992.5373134328358,31077,vic
59146,The Pool Merchant Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-07,22000.0,L,N106,59146,The Pool Merchant Pty Ltd,2015-07,22000.0,59146,nsw
35456,Bathurst Regional Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-07,7000.0,L,N106,18888,Bathurst Water Filtration Plant,2015-07,7000.0,35456,nsw
59307,Ventia Australia Pty Ltd- Vic,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-07,1000.0,L,V127,59264,RAAF Base East Sale,2015-07,1000.0,59307,vic
59008,Visy Trading Singapore Pte Ltd,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2015-12,25.0,TO,V127,20672,Visy Paper (Tumut),2015-07,19083.969465648854,,
59492,Pristine Pools and Spas,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2015-08,1.0,DRM,D106,59492,Pristine Pools and Spas,2015-08,200.0,59492,nt
10412,Colgate Palmolive,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,,1.0,L,Q300,10412,Colgate Palmolive,2015-08,1.0,10412,qld
