,date,Ixom,Coogee Chemicals,Cleveland Bay Chemicals,Nalco Water,Omega Chemicals,isPartial,IXOM-share of search
0,2015-03-01,18,0,0,0,0,False,1.0
1,2015-04-01,75,19,0,0,0,False,0.7978723404255319
2,2015-05-01,18,36,0,0,0,False,0.3333333333333333
3,2015-06-01,57,19,0,0,0,False,0.75
4,2015-07-01,39,20,0,0,0,False,0.6610169491525424
5,2015-08-01,37,37,0,0,0,False,0.5
6,2015-09-01,19,19,0,19,0,False,0.3333333333333333
7,2015-10-01,54,18,0,0,0,False,0.75
8,2015-11-01,0,19,0,0,0,False,0.0
9,2015-12-01,20,0,0,0,0,False,1.0
10,2016-01-01,20,20,0,0,0,False,0.5
11,2016-02-01,0,0,0,0,0,False,0.0
12,2016-03-01,18,0,0,0,0,False,1.0
13,2016-04-01,19,0,0,0,0,False,1.0
14,2016-05-01,74,18,0,0,0,False,0.8043478260869565
15,2016-06-01,39,19,0,0,0,False,0.6724137931034483
16,2016-07-01,40,0,0,0,0,False,1.0
17,2016-08-01,20,0,0,0,0,False,1.0
18,2016-09-01,80,0,0,0,0,False,1.0
19,2016-10-01,39,0,0,0,0,False,1.0
20,2016-11-01,0,19,0,0,0,False,0.0
21,2016-12-01,100,0,0,0,0,False,1.0
22,2017-01-01,37,19,0,0,0,False,0.6607142857142857
23,2017-02-01,58,0,0,0,0,False,1.0
24,2017-03-01,33,0,0,0,0,False,1.0
25,2017-04-01,0,0,0,0,0,False,0.0
26,2017-05-01,53,0,0,0,0,False,1.0
27,2017-06-01,19,0,0,0,0,False,1.0
28,2017-07-01,19,19,0,0,0,False,0.5
29,2017-08-01,52,17,0,0,0,False,0.7536231884057971
30,2017-09-01,0,19,0,0,0,False,0.0
31,2017-10-01,53,18,0,0,0,False,0.7464788732394366
32,2017-11-01,36,0,0,0,0,False,1.0
33,2017-12-01,38,19,0,0,0,False,0.6666666666666666
34,2018-01-01,54,0,0,0,0,False,1.0
35,2018-02-01,76,0,0,0,0,False,1.0
36,2018-03-01,17,17,0,0,0,False,0.5
37,2018-04-01,53,0,0,0,0,False,1.0
38,2018-05-01,34,0,0,0,0,False,1.0
39,2018-06-01,70,17,0,0,0,False,0.8045977011494253
40,2018-07-01,53,0,0,0,0,False,1.0
41,2018-08-01,17,0,0,17,0,False,0.5
42,2018-09-01,53,0,0,0,0,False,1.0
43,2018-10-01,51,0,0,0,0,False,1.0
44,2018-11-01,52,17,0,0,0,False,0.7536231884057971
45,2018-12-01,37,0,0,0,0,False,1.0
46,2019-01-01,0,0,0,17,0,False,0.0
47,2019-02-01,36,0,0,0,0,False,1.0
48,2019-03-01,32,16,0,0,0,False,0.6666666666666666
49,2019-04-01,34,17,0,0,0,False,0.6666666666666666
50,2019-05-01,48,0,0,0,0,False,1.0
51,2019-06-01,32,0,0,0,0,False,1.0
52,2019-07-01,34,17,0,17,0,False,0.5
53,2019-08-01,0,0,0,16,0,False,0.0
54,2019-09-01,33,0,0,0,0,False,1.0
55,2019-10-01,16,0,0,0,0,False,1.0
56,2019-11-01,32,16,0,16,0,False,0.5
57,2019-12-01,17,17,0,0,0,False,0.5
58,2020-01-01,16,0,0,0,0,False,1.0
59,2020-02-01,32,16,0,0,0,False,0.6666666666666666
60,2020-03-01,0,0,0,14,0,False,0.0
61,2020-04-01,29,0,0,0,0,False,1.0
62,2020-05-01,0,0,0,14,0,False,0.0
63,2020-06-01,45,0,0,0,0,False,1.0
64,2020-07-01,15,0,0,0,0,False,1.0
65,2020-08-01,15,0,0,0,0,False,1.0
66,2020-09-01,16,0,0,0,0,False,1.0
67,2020-10-01,0,0,0,0,0,False,0.0
68,2020-11-01,0,0,0,0,0,False,0.0
69,2020-12-01,71,0,0,0,0,False,1.0
70,2021-01-01,17,17,0,35,0,False,0.2463768115942029
71,2021-02-01,19,19,0,0,0,False,0.5
72,2021-03-01,35,35,0,0,0,False,0.5
73,2021-04-01,0,0,0,0,0,False,0.0
74,2021-05-01,70,0,0,0,0,False,1.0
75,2021-06-01,0,18,0,0,0,False,0.0
76,2021-07-01,16,0,0,17,0,False,0.48484848484848486
77,2021-08-01,16,0,0,0,0,False,1.0
78,2021-09-01,18,0,0,0,0,False,1.0
79,2021-10-01,0,0,0,0,0,False,0.0
80,2021-11-01,37,0,0,0,0,False,1.0
81,2021-12-01,0,0,0,0,0,False,0.0
82,2022-01-01,53,18,0,0,0,False,0.7464788732394366
83,2022-02-01,20,40,0,0,0,False,0.3333333333333333
84,2022-03-01,52,0,0,0,0,False,1.0
