date,Ixom,Orica Chemicals,Coogee Chemicals,Cleveland Bay,isPartial
2015-03-01,18,9,27,9,False
2015-04-01,66,56,19,9,False
2015-05-01,35,53,35,9,False
2015-06-01,46,0,37,9,False
2015-07-01,44,26,44,18,False
2015-08-01,33,25,66,8,False
2015-09-01,35,9,88,17,False
2015-10-01,67,17,67,8,False
2015-11-01,17,25,34,17,False
2015-12-01,9,9,9,0,False
2016-01-01,27,0,18,18,False
2016-02-01,27,18,54,9,False
2016-03-01,25,17,34,42,False
2016-04-01,44,17,35,9,False
2016-05-01,100,17,33,8,False
2016-06-01,17,17,26,9,False
2016-07-01,46,27,18,0,False
2016-08-01,36,18,18,27,False
2016-09-01,64,18,27,9,False
2016-10-01,26,26,18,26,False
2016-11-01,0,17,26,9,False
2016-12-01,63,18,27,9,False
2017-01-01,25,0,25,17,False
2017-02-01,88,17,53,26,False
2017-03-01,68,15,8,0,False
2017-04-01,25,0,17,0,False
2017-05-01,48,8,16,0,False
2017-06-01,35,9,17,17,False
2017-07-01,42,0,8,8,False
2017-08-01,40,0,24,0,False
2017-09-01,17,8,42,8,False
2017-10-01,63,0,31,16,False
2017-11-01,47,8,24,16,False
2017-12-01,34,0,42,0,False
2018-01-01,71,8,39,23,False
2018-02-01,34,8,25,17,False
2018-03-01,30,0,45,8,False
2018-04-01,63,0,24,8,False
2018-05-01,67,0,15,7,False
2018-06-01,78,0,23,8,False
2018-07-01,47,0,0,31,False
2018-08-01,30,0,23,0,False
2018-09-01,73,16,40,24,False
2018-10-01,61,8,23,15,False
2018-11-01,63,0,63,23,False
2018-12-01,74,8,33,8,False
2019-01-01,46,0,39,15,False
2019-02-01,33,0,33,25,False
2019-03-01,37,7,37,22,False
2019-04-01,31,8,39,31,False
2019-05-01,36,0,36,7,False
2019-06-01,45,7,15,7,False
2019-07-01,8,0,15,15,False
2019-08-01,29,0,21,35,False
2019-09-01,37,7,44,15,False
2019-10-01,29,7,7,7,False
2019-11-01,22,0,36,14,False
2019-12-01,53,22,45,30,False
2020-01-01,28,0,42,35,False
2020-02-01,50,7,58,36,False
2020-03-01,13,0,19,19,False
2020-04-01,44,0,6,19,False
2020-05-01,25,6,37,31,False
2020-06-01,27,0,14,7,False
2020-07-01,20,7,14,7,False
2020-08-01,20,13,20,13,False
2020-09-01,36,0,29,14,False
2020-10-01,15,8,8,15,False
2020-11-01,8,0,16,8,False
2020-12-01,40,0,32,8,False
2021-01-01,15,0,38,38,False
2021-02-01,50,0,50,17,False
2021-03-01,39,0,39,38,False
2021-04-01,39,0,8,24,False
2021-05-01,52,0,23,22,False
2021-06-01,0,0,30,15,False
2021-07-01,14,0,36,22,False
2021-08-01,22,0,7,22,False
2021-09-01,39,0,24,24,False
2021-10-01,38,0,31,8,False
2021-11-01,40,8,40,8,False
2021-12-01,25,0,16,8,False
2022-01-01,30,7,38,15,False
2022-02-01,35,0,35,9,False
2022-03-01,53,7,38,30,False
