date,Ixom,Orica Chemicals,Coogee Chemicals,Cleveland Bay,isPartial
2009-01-01,0,38,19,0,False
2009-02-01,0,19,75,0,False
2009-03-01,0,0,49,0,False
2009-04-01,0,0,17,0,False
2009-05-01,0,78,32,0,False
2009-06-01,0,62,0,0,False
2009-07-01,0,15,46,0,False
2009-08-01,0,15,44,0,False
2009-09-01,0,61,0,0,False
2009-10-01,0,44,15,15,False
2009-11-01,0,0,46,30,False
2009-12-01,0,17,17,0,False
2010-01-01,0,16,0,0,False
2010-02-01,0,0,32,0,False
2010-03-01,0,13,54,0,False
2010-04-01,0,14,15,15,False
2010-05-01,0,41,14,41,False
2010-06-01,0,100,15,0,False
2010-07-01,0,26,13,0,False
2010-08-01,0,12,13,0,False
2010-09-01,0,76,13,0,False
2010-10-01,0,49,37,12,False
2010-11-01,0,25,63,12,False
2010-12-01,0,13,27,0,False
2011-01-01,0,0,18,0,False
2011-02-01,0,27,18,0,False
2011-03-01,0,31,8,0,False
2011-04-01,0,0,0,9,False
2011-05-01,0,38,16,0,False
2011-06-01,0,16,16,8,False
2011-07-01,0,8,16,16,False
2011-08-01,0,73,22,0,False
2011-09-01,0,22,23,8,False
2011-10-01,0,36,29,0,False
2011-11-01,0,44,37,15,False
2011-12-01,0,31,16,16,False
2012-01-01,0,7,7,0,False
2012-02-01,0,35,21,0,False
2012-03-01,0,19,19,6,False
2012-04-01,0,13,20,7,False
2012-05-01,0,36,37,0,False
2012-06-01,0,13,26,0,False
2012-07-01,0,12,12,6,False
2012-08-01,0,23,29,6,False
2012-09-01,0,12,37,6,False
2012-10-01,0,6,17,0,False
2012-11-01,0,12,12,6,False
2012-12-01,0,18,6,6,False
2013-01-01,0,33,11,6,False
2013-02-01,0,6,30,6,False
2013-03-01,0,10,16,0,False
2013-04-01,0,10,32,16,False
2013-05-01,0,10,5,10,False
2013-06-01,0,10,11,0,False
2013-07-01,0,0,25,10,False
2013-08-01,0,14,39,10,False
2013-09-01,0,10,30,5,False
2013-10-01,0,9,24,10,False
2013-11-01,0,0,20,20,False
2013-12-01,0,10,27,11,False
2014-01-01,0,5,24,15,False
2014-02-01,0,30,26,5,False
2014-03-01,0,0,22,4,False
2014-04-01,0,9,29,10,False
2014-05-01,0,19,19,5,False
2014-06-01,0,26,10,5,False
2014-07-01,0,20,36,15,False
2014-08-01,0,39,25,5,False
2014-09-01,0,20,46,5,False
2014-10-01,0,34,30,10,False
2014-11-01,0,60,30,10,False
2014-12-01,0,21,37,11,False
2015-01-01,0,14,5,10,False
